"","rank","song","singer","music_director","lyricist","movie","actors","year"
"308",27,"Mujhe Kehte Hain Kallu Kavval ","SudhaMalhotra,Mukesh","Kalyanji Anandji","Gulshan Bawra","Dulha Dulhan","Sadhana, Raj Kapoor",1964
"309",28,"Hum Pyar Ka Sauda Karte Hain Ek Baar ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Zindagi","Vyjayantimala, Rajendra Kumar",1964
"310",29,"Husn Se Chand Bhi Sharmaya Hai ","MohammedRafi","Ravi","Shakeel Badayuni","Door ki Awaaz","Joy Mukherjee, Saira Banu",1964
"311",30,"Mai Ek Nanha Sa, Mai Ek Chhota Sa Bachha Hu ","LataMangeshkar","Laxmikant Pyarelal","Kavi Pradeep","Harishchandra Taramati","Babloo",1964
"312",31,"Mera Naam Rita Christina ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","April Fool","Saira Banu, Biswajeet",1964
"313",32,"Aa Gale Lag Ja, Mere Sapne, Mere Apne, Mere Paas Aa ","MohammedRafi","Shankar Jaikishan","Shailendra","April Fool","Biswajeet, Saira Banu",1964
"314",1,"Jis Dil Me Basa Tha Pyar Tera, Us Dil Ko Kabhi Ka Tod Diya (Male) ","Mukesh","Kalyanji Anandji","Indeevar","Saheli","Pradeep Kumar",1965
"315",1,"Jis Dil Me Basa Tha Pyar Tera, Us Dil Ko Kabhi Ka Tod Diya (Female) ","LataMangeshkar","Kalyanji Anandji","Indeevar","Saheli","Kalpana, Pradeep Kumar",1965
"316",2,"Aao Twist Kare Jaag Utha Mausam ","MannaDey","R D Burman","Hasrat Jaipuri","Bhoot Bungla","Mehmood, Tanuja, Mohan Choti, Ameen Sayani",1965
"317",4,"Laal Chhadi Maidan Khadi, Kya Khub Ladi, Kya Khub Ladi ","MohammedRafi","Shankar Jaikishan","Shailendra","Janwar","Rajshree, Shammi Kapoor",1965
"318",5,"Tumhi Mere Mandir, Tumhi Meri Pooja ","LataMangeshkar","Ravi","Rajinder Krishan","Khandan","Sunil Dutt, Om Prakash, Nutan",1965
"319",6,"Ek Tu Na Mila, Sari Duniya Mile Bhi To Kya Hai ","LataMangeshkar","Kalyanji Anandji","Indeevar","Himalay Ki God Mein","Mala Sinha, Manoj Kumar",1965
"320",7,"Aaja, Aai Bahar, Dil Hai Beqraar, O Mere Rajkumar ","LataMangeshkar","Shankar Jaikishan","Shailendra","Rajkumar","Shammi Kapoor, Sadhana",1965
"321",8,"Tumse Achchha Kaun Hai, Dil Lo Jigar Lo Jaan Lo ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Janwar","Rajshree, Shammi Kapoor",1965
"322",9,"Vaqt Se Din Aur Raat ","MohammedRafi","Ravi","Sahir Ludhianvi","Waqt","Balraj Sahni, Achala Sachdev",1965
"323",10,"Saanson Ke Taar Par, Geet Gaya Pathro Ne (Solo Version) ","KishoriAmonkar","Ramlal","Hasrat Jaipuri","Geet Gaaya Pattharon Ne","Nana Palsikar, Rajshree, Jeetendra",1965
"324",11,"Pardesiyon Se Na Aankhiyan Milana (Sad) ","MohammedRafi","Kalyanji Anandji","Anand Bakshi","Jab Jab Phool Khile","Shashi Kapoor, Nanda",1965
"325",12,"Yeh Do Diwane Dil Ke, Chale Hai Dekho Mil Ke ","MannaDey,MohammedRafi","Kalyanji Anandji","Qamar Jalalabadi","Johar Mehmood In Goa","I S Johar, Mehmood",1965
"326",13,"Are Yaar Meree Tum Bhee Ho Gajab ","AshaBhosle,KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Teen devian","Simi Garewal, Nanda, Kalpana, Dev Anand",1965
"327",14,"Likha Hai Teree Aankho Me, Kisaka Afasaana ","LataMangeshkar,KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Teen devian","Nanda, Dev Anand",1965
"328",15,"Chand Si Mehbooba Ho Meri ","Mukesh","Kalyanji Anandji","Anand Bakshi","Himalay Ki God Mein","Mala Sinha, Manoj Kumar",1965
"329",16,"Jaaiye Aap Kahaan Jaayenge, Ye Nazar Laut Ke Fir Aayegi ","AshaBhosle","O P Nayyar","Majrooh Sultanpuri","Mere Sanam","Mumtaz, Asha Parekh, Biswajeet",1965
"330",17,"O Badi Der Bhai Nandalaalaa ","MohammedRafi","Ravi","Rajinder Krishan","Khandan","Sunil Dutt, Sudesh Kumar, Om Prakash, Nutan, Mumtaz",1965
"331",18,"Ajnabi Tum Jane Pehchane Se Lagte Ho ","KishoreKumar","Laxmikant Pyarelal","Asad Bhopali","Hum Sab Ustad Hain","Ameeta, Kishore Kumar",1965
"332",18,"Ajnabee Tum Jane Pehchane Se Lagte Ho (By Lata) ","LataMangeshkar","Laxmikant Pyarelal","Asad Bhopali","Hum Sab Ustad Hain","Ameeta",1965
"333",19,"Nil Gagan Par Udte Badal Aa Aa Aa ","AshaBhosle,MohammedRafi","Ravi","Rajinder Krishan","Khandan","Sunil Dutt, Nutan",1965
"334",20,"Ham Chhod Chale Hain Mehfil Ko ","Mukesh","Kalyanji Anandji","Hasrat Jaipuri","Ji Chahta Hai","Joy Mukherjee, Rajshree",1965
"335",22,"Hoke Majbur Mujhe Usne Bhulaya Hoga ","TalatMahmood,MohammedRafi,MannaDey,BhupinderSingh","Madan Mohan","Kaifi Azmi","Haqeeqat","Raju, Johny Bakhshi, Prem Sagar, Bhupinder",1965
"336",23,"Neend Nighao Ki Kho Jati Hai, Kyunki Jawani Me Ho Jati Hai Mohabbat ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Lutera","Dara Singh, Nishi",1965
"337",24,"Koyee Jab Rah Naa Paye Mere Sang Aaye, Meri Dosti Mera Pyar ","MohammedRafi","Laxmikant Pyarelal","Majrooh Sultanpuri","Dosti","Sanjay Khan, Sushil Kumar, Sudhir Kumar",1965
"338",25,"Machalti Hui Hava Me Chham Chham ","KishoreKumar,LataMangeshkar","Chitragupt","Majrooh Sultanpuri","Ganga Ki Laharen","Kishore Kumar, Kumkum",1965
"339",26,"Tum Akele To Kabhi Bagh Mein Jaya Na Karo ","MohammedRafi,LataMangeshkar","Usha Khanna","Rajinder Krishan","Aao Pyar Karen","Saira Banu, Joy Mukherjee",1965
"340",27,"Na Na Karte Pyaar Tumhi Se Kar Baithe ","SumanKalyanpur,MohammedRafi","Kalyanji Anandji","Anand Bakshi","Jab Jab Phool Khile","Nanda, Shashi Kapoor",1965
"341",28,"Khudaya Khudaya Mohabbat Na Hoti ","LataMangeshkar","Laxmikant Pyarelal","Asad Bhopali","Boxer","Tabassum",1965
"342",29,"Jiyo To Aise Jiyo Jaise Sab Tumhara Hai ","MohammedRafi","Ravi","Sahir Ludhianvi","Bahu Beti","Joy Mukherjee, Mala Sinha",1965
"343",30,"Laagi Manva Ke Bich Kataari ","MannaDey","Roshan","Sahir Ludhianvi","Chitralekha","Mehmood",1965
"344",31,"Maine Dekha Hai Ki Phulo Se Ladi Vadi Me ","MahendraKapoor,AshaBhosle","Ravi","Sahir Ludhianvi","Waqt","Sadhana, Sunil Dutt",1965
"345",32,"Tera Husn Rahe Mera Ishk Rahe ","MohammedRafi","Hemant Kumar","Kaifi Azmi","Do Dil","Biswajeet, Rajeshree",1965
"346",1,"Baharon Phool Barsao Mera Mehboob Aaya ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Suraj","Vyjayantimala, Rajendra Kumar",1966
"347",2,"Gata Rahe Mera Dil Tu Hi Meri Manzil ","LataMangeshkar,KishoreKumar","Sachin Dev Burman","Shailendra","Guide","Dev Anand, Waheeda Rehman",1966
"348",3,"Huzurevaalaa Jo Ho Ijaazat To Ham Ye Saare Jahaan Se Kah Den ","AshaBhosle,MinooPurushottam","O P Nayyar","Aziz Kashmiri","Yeh Raat Phir Na Ayegi","Madhumati, Biswajeet, Mumtaz, Helen",1966
"349",4,"Jhumka Gira Re, Bareli Ke Bazaar Me ","AshaBhosle","Madan Mohan","Raja Mehdi Ali Khan","Mera Saaya","Sadhana",1966
"350",5,"Dil Jo Na Kah Saka, Vahi Raaz-E-Dil, Kahne Ki Raat Aayi (Female) ","LataMangeshkar","Roshan","Majrooh Sultanpuri","Bheegee Raat","Pradeep Kumar, Meena Kumari",1966
"351",6,"Jaapaan Love In Tokyo Le Gai Dil Gudiyaa Jaapaan Ki ","MohammedRafi","Shankar Jaikishan","Hasrat Jaipuri","Love In Tokyo","Asha Parekh, Joy Mukherjee",1966
"352",7,"Sajan Re Jhoot Mat Bolo Khuda Ke Paas Jana ","Mukesh","Shankar Jaikishan","Shailendra","Teesri Kasam","Waheeda Rehman, Raj Kapoor",1966
"353",8,"Usko Nahin Dekha Hamne Kabhi, Ai Maa Teri Surat Se Alag Bhagwan Ki Surat Kya Hogi ","MannaDey,MahendraKapoor","Roshan","Majrooh Sultanpuri","Daadi Maa","Bina Roy, Kashi Nath, Dileep Raj",1966
"354",9,"Aji Ruth Kar Ab Kaha Jaaiyega ","LataMangeshkar","Shankar Jaikishan","Hasrat Jaipuri","Arzoo","Sadhana, Rajendra Kumar",1966
