"","rank","song","singer","music_director","lyricist","movie","actors","year"
"609",1,"Meraa Jivan Kora Kagaj Kora Hee Rah Gaya ","KishoreKumar","Kalyanji Anandji","M G Hashmat","Kora Kagaz","Chetan Anand, Jaya Bhaduri",1974
"610",2,"Jai Bolo Shiv Shankar Ki Jay (Jai Jai Shiv Shankar, Kanta Lage Na Kankar) ","LataMangeshkar,KishoreKumar","R D Burman","Anand Bakshi","Aap Ki Kasam","Mumtaz, Rajesh Khanna",1974
"611",3,"Jhoot Bole Kauva Kaate ","LataMangeshkar,ShailendraSingh","Laxmikant Pyarelal","Vithalbhai Patel","Bobby","Prem Nath, Rishi Kapoor, Dimple Kapadia",1974
"612",4,"Gaadi Bulaa Rahi Hai Siti Bajaa Rahi Hai ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Dost","Dharmendra, Hema Malini, Shatrughan Sinha",1974
"613",5,"Are Raftaa Raftaa Dekho Aankh Meri Ladi Hai ","KishoreKumar,Rekha","Kalyanji Anandji","Rajinder Krishan","Kahani Kismat Ki","Dharmendra, Rekha",1974
"614",6,"Pine Vaalon Ko Pine Kaa Bahaanaa Chaahiye ","KishoreKumar,HemaMalini","Kalyanji Anandji","Gulshan Bawra","Haath Ki Safai","Randhir Kapoor, Hema Malini",1974
"615",7,"Pite Pite Kabhi Kabhi Yun Jaam Badal Jaate Hain ","MohammedRafi,AshaBhosle","Kalyanji Anandji","Anand Bakshi","Bairaag","Dilip Kumar",1974
"616",8,"Le Jaaenge, Dilvaale Dulhaaniyaa Le Jaaenge ","KishoreKumar,AshaBhosle","Ravindra Jain","Indrajeet Singh Tulsi","Chor Machaye Shor","Shashi Kapoor, Mumtaz",1974
"617",10,"Teri Galiyon Mein Na Rakhenge Kadam, Aaj Ke Baad ","MohammedRafi","Usha Khanna","Saawan Kumar","Hawas","Neetu Singh, Bindu, Anil Dhawan",1974
"618",11,"Chura Liya Hai Tum Ne Jo Dil Ko ","AshaBhosle","R D Burman","Majrooh Sultanpuri","Yaadon Ki Baarat","Zeenat Aman, Vijay Arora",1974
"619",12,"Main Shaayar To Nahin, Magar Ai Hasin ","ShailendraSingh","Laxmikant Pyarelal","Anand Bakshi","Bobby","Aruna Irani, Rishi Kapoor",1974
"620",13,"Ye Dil Aur Unaki, Nigaahon Ke Saaye ","LataMangeshkar","Jaidev","Jan Nisar Akhtar","Prem Parbat","Rehana Sultan, Nana Palsikar",1974
"621",14,"Pannaa Ki Tamannaa Hai Ki Hiraa Mujhe Mil Jaaye ","KishoreKumar,LataMangeshkar","R D Burman","Anand Bakshi","Heera Panna","Dev Anand, Zeenat Aman",1974
"622",15,"Raaz Ki Baat Keh Du To Jaane Mehfil Me Phir Kya Ho ","MohammedRafi,AshaBhosle","Sonik Omi","Verma Malik","Dharma","",1974
"623",16,"Mit Na Mila Re Man Ka ","KishoreKumar","Sachin Dev Burman","Majrooh Sultanpuri","Abhimaan","Asrani, Amitabh Bachchan",1974
"624",17,"Karavaten Badalate Rahe Saari Raat Ham ","KishoreKumar,LataMangeshkar","R D Burman","Anand Bakshi","Aap Ki Kasam","Rajesh Khanna, Mumtaz",1974
"625",18,"Nadiya Se Dariya, Dariya Se Sagar, Sagar Se Gahra Jaam ","KishoreKumar","R D Burman","Anand Bakshi","Namak Haraam","Rekha, Rajesh Khanna",1974
"626",19,"Ek Daal Par Totaa Bole Ek Daal Par Mainaa ","MohammedRafi,LataMangeshkar","Ravindra Jain","Indrajeet Singh Tulsi","Chor Machaye Shor","Shashi Kapoor, Mumtaz",1974
"627",20,"Aapke Kamare Me Koyee Rehata Hai ","AshaBhosle,KishoreKumar,RDBurman","R D Burman","Majrooh Sultanpuri","Yaadon Ki Baarat","Tariq, Vijay Arora, Zeenat Aman",1974
"628",22,"Shor Mach Gaya Shor Dekho Aaya Maakhan Chor ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Badla","Shatrughan Sinha, Bhagwan Dada",1974
"629",23,"Tu Ru Ru, Teraa Meraa Pyaar Shuru ","KishoreKumar","Laxmikant Pyarelal","Rajinder Krishan","Jwar Bhata","Sujit Kumar, Saira Banu, Dharmendra",1974
"630",24,"O Manachali Kahaan Chali ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Manchali","Sanjeev Kumar, Leena Chandavarkar",1974
"631",25,"Gham Ka Fasana Ban Gaya Achchha, Ek Bahana Ban Gaya Achchha ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Manchali","Sanjeev Kumar, Leena Chandavarkar",1974
"632",26,"Ye Samajho Aur Samajhaao Thodi Me Mauj Manao ","KishoreKumar,LataMangeshkar","Laxmikant Pyarelal","Rajinder Krishan","Jwar Bhata","Sujit Kumar, Saira Banu, Dharmendra",1974
"633",27,"Chup Chup Kyo Baithi Ho ","MohammedRafi","Kalyanji Anandji","Jan Nisar Akhtar","Humrahi","Randhir Kapoor, Tanuja",1974
"634",28,"Aaya Hoon Main Tujhko Le Jaoonga ","KishoreKumar,AshaBhosle","R D Burman","Anand Bakshi","Manoranjan","Zeenat Aman, Sanjeev Kumar",1974
"635",29,"Waada Kar Le Saajna Tere Bin Main Na Rahun ","MohammedRafi,LataMangeshkar","Kalyanji Anandji","Gulshan Bawra","Haath Ki Safai","Vinod Khanna, Simi Garewal",1974
"636",30,"Saalaa Main To Saahab Ban Gayaa ","KishoreKumar,PankajMitra","Sachin Dev Burman","Majrooh Sultanpuri","Sagina","Dilip Kumar, Om Prakash",1974
"637",31,"Yaado Ki Baarat Nikli Hai Aaj Dil Ke Dware ","Shivangi,Padmini,MohammedRafi,LataMangeshkar,KishoreKumar","R D Burman","Majrooh Sultanpuri","Yaadon Ki Baarat","Aamir Khan",1974
"638",32,"Baith Ja Khadi Ho Ja ","LataMangeshkar,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Amir Garib","Dev Anand, Hema Malini",1974
"639",33,"Jhum Baraabar Jhum Sharaabi ","AzizNazan","Aziz Nazan","Naza Sholapuri","5 Rifles","I S Johar",1974
"640",1,"Usane Kahaa Tu Kaun Hai, Mahngaai Maar Gai ","NarendraChanchal,JaniBabuQawwal,LataMangeshkar,Mukesh","Laxmikant Pyarelal","Varma Malik","Roti Kapada Aur Makaan","Prem Nath, Moushumi Chatterjee, Manoj Kumar",1975
"641",2,"Hai Hai Yeh Majburee ","LataMangeshkar","Laxmikant Pyarelal","Verma Malik","Roti Kapada Aur Makaan","Zeenat Aman, Manoj Kumar",1975
"642",3,"Bhul Gaya Sab Kuchh, Yad Nahee Abb Kuchh, Julie I Love You ","LataMangeshkar,KishoreKumar","Rajesh Roshan","Anand Bakshi","Julie","Lakshmi, Vikram",1975
"643",4,"Chunari Gote Men, Saj Rahi Gali Meri Maan ","Mehmood,MohammedRafi","Rajesh Roshan","Majrooh Sultanpuri","Kunwara Baap","Bharati, Mehmood, Vinod Mehra",1975
"644",5,"Tere Bina Zindagi Se Koi, Shikavaa To Nahin ","KishoreKumar,LataMangeshkar","R D Burman","Gulzar","Aandhi","Sanjeev Kumar, Suchitra Sen",1975
"645",6,"Waada Kar Le Saajna Tere Bin Main Na Rahun ","MohammedRafi,LataMangeshkar","Kalyanji Anandji","Gulshan Bawra","Haath Ki Safai","Vinod Khanna, Simi Garewal",1975
"646",7,"Dil Aisa Kisine Mera Toda ","KishoreKumar","Shyamal Mitra","Indeevar","Amanush","Uttam Kumar",1975
"647",8,"Rajanigandhaa Phul Tumhaare Mahake Yun Hi Jivan Men ","LataMangeshkar","Salil Chowdhury","Yogesh","Rajnigandha","Vidya Sinha, Amol Palekar",1975
"648",9,"Jhum Baraabar Jhum Sharaabi ","AzizNazan","Aziz Nazan","Naza Sholapuri","5 Rifles","I S Johar",1975
"649",10,"Prem Kahaani Men ","KishoreKumar,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Prem Kahani","Mumtaz, Rajesh Khanna",1975
"650",11,"Ham Dono Do Premi ","KishoreKumar,LataMangeshkar","R D Burman","Anand Bakshi","Ajanabee","Rajesh Khanna, Zeenat Aman",1975
"651",12,"O Maajhi Re Apna Kinara Nadiya Ki Dhara Hai ","KishoreKumar","R D Burman","Gulzar","Khushboo","Hema Malini, Jeetendra, Farida Jalal",1975
"652",13,"Kabhi Khole Na Tijori Ka Taala ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Bidaai","Jeetendra",1975
"653",14,"Is Mod Se Jaate Hai, Kuchh Sust Kadam Raste ","KishoreKumar,LataMangeshkar","R D Burman","Gulzar","Aandhi","Sanjeev Kumar, Suchitra Sen",1975
"654",15,"Ye Jo Public Hai ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Roti","Mumtaz, Rajesh Khanna",1975
"655",16,"Jalta Hai Jiya Mera Bheegi Bheegi Rato Me ","AshaBhosle,KishoreKumar","Bappi Lahiri","Gauhar Kanpuri","Zakhmee","Reena Roy, Rakesh Roshan",1975
"656",17,"Main Hu Ghoda, Ye Hai Gaadi, Meri Riksha Sab Se Nirali ","Mehmood,KishoreKumar","Rajesh Roshan","Majrooh Sultanpuri","Kunwara Baap","Mehmood",1975
"657",18,"O Hansani Meri Hansani, Kahaan Ud Chali ","KishoreKumar","R D Burman","Majrooh Sultanpuri","Zehreela Insaan","Neetu Singh, Rishi Kapoor",1975
"658",19,"My Heart Is Beating, Keeps On Repeating ","PreetiSagar","Rajesh Roshan","Harindranath Chattopadhyay","Julie","Vikram, Lakshmi",1975
"659",20,"Jijaaji Meri Jiji Hai Anaadi ","AshaBhosle,KishoreKumar,UshaMangeshkar","Laxmikant Pyarelal","Rajinder Krishan","Ponga Pandit","Danny Denzongpa, Nita Mehta, Prema Narayan, Randhir Kapoor",1975
"660",21,"Aayegi Jarur Chitthi Mere Naam Ki ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Dulhan","Hema Malini",1975
"661",22,"Dil Kya Kare Jab Kisee Se, Kisiko Pyar Ho Jaye ","KishoreKumar","Rajesh Roshan","Anand Bakshi","Julie","Vikram, Lakshmi",1975
"662",23,"Fauji Gayaa Jab Gaanv Men ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Aakraman","Sanjeev Kumar, Rekha, Rakesh Roshan, Rajesh Khanna, Ashok Kumar",1975
"663",24,"Mehbuba Mehbuba Gulshan Me Gul Khilte Hai ","RDBurman","R D Burman","Anand Bakshi","Sholay","Amjad Khan, Helen, Dharmendra, Amitabh Bachchan, Jalal Agha",1975
"664",25,"Chal Sanyasi, Mandir Me, Tera Chimta Meri Chudiya ","Mukesh,LataMangeshkar","Shankar Jaikishan","Vishveshvar Sharma","Sanyasi","Hema Malini, Prem Nath, Manoj Kumar",1975
"665",26,"Main Jat Yamla Pagla ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Pratigya","Dharmendra, Hema Malini",1975
"666",27,"Yaaraa O Yaaraa, Main Benaam Ho Gayaa ","NarendraChanchal","R D Burman","Majrooh Sultanpuri","Benaam","Amitabh Bachchan, Moushumi Chatterjee, Narendra Chanchal",1975
"667",28,"Karale Saaf Karale Zara Tu Saaf Karale ","UshaMangeshkar,Mehmood","Nitin Mangeshkar","Maya Govind","Qaid","Mehmood, Kamini Kaushal",1975
"668",29,"Ruk Jana O Jana Humse Do Bate Karke Chali Jana ","KishoreKumar","R D Burman","Anand Bakshi","Warrant","Dev Anand, Zeenat Aman",1975
"669",30,"Koi Haseena Jab Rooth Jati Hai ","KishoreKumar","R D Burman","Anand Bakshi","Sholay","Dharmendra, Hema Malini",1975
"670",31,"Tere Chahare Men Vo Jaadu Hai, Bin Dor Khinchaa Jaataa Hun ","KishoreKumar","Kalyanji Anandji","Indeevar","Dharmatma","Feroz Khan, Hema Malini",1975
"671",32,"Sun Bal Brahmchari Mai Hu Kanya Kunwari ","Mukesh,LataMangeshkar","Shankar Jaikishan","Verma Malik","Sanyasi","Hema Malini, Manoj Kumar, Prem Nath",1975
"672",1,"Kabhi Kabhi Mere Dil Mein ","Mukesh","Khayyam","Sahir Ludhianvi","Kabhi Kabhie","Rakhee, Amitabh Bachchan",1976
"673",2,"Ek Din Bik Jayega, Mati Ke Mol, Jag Me Rah Jayege, Pyare Tere Bol (Mukesh) ","Mukesh","R D Burman","Majrooh Sultanpuri","Dharam Karam","Raj Kapoor",1976
"674",3,"Mai Toh Aaratee Utaru Re Santoshee Mata Kee ","UshaMangeshkar","C Arjun","Kavi Pradeep","Jai Santoshi Maa","Kanan Kaushal, Ashish Kumar",1976
"675",4,"Git Gaataa Chal O Saathi Gunagunaataa Chal ","JaspalSingh","Ravindra Jain","Ravindra Jain","Geet Gaata Chal","Sachin, Sarika",1976
"676",5,"Chal Sanyasi, Mandir Me, Tera Chimta Meri Chudiya ","Mukesh,LataMangeshkar","Shankar Jaikishan","Vishveshvar Sharma","Sanyasi","Hema Malini, Prem Nath, Manoj Kumar",1976
"677",6,"Mehbuba Mehbuba Gulshan Me Gul Khilte Hai ","RDBurman","R D Burman","Anand Bakshi","Sholay","Amjad Khan, Helen, Dharmendra, Amitabh Bachchan, Jalal Agha",1976
"678",7,"Main Pal Do Pal Kaa Shaayar Hun ","Mukesh","Khayyam","Sahir Ludhianvi","Kabhi Kabhie","Shashi Kapoor, Rakhee, Amitabh Bachchan",1976
"679",8,"Shyaam Teri Bansi Pukaare Raadhaa Naam ","AartiMukherjee,JaspalSingh","Ravindra Jain","Ravindra Jain","Geet Gaata Chal","Sachin, Sarika",1976
"680",9,"Yeh Dostee Ham Nahee Todenge ","MannaDey,KishoreKumar","R D Burman","Anand Bakshi","Sholay","Amitabh Bachchan, Dharmendra",1976
"681",10,"Ye Duniya Ek Numbri To Mai Dus Numbri ","Mukesh","Laxmikant Pyarelal","Majrooh Sultanpuri","Dus Numbri","Manoj Kumar",1976
"682",11,"Apne Jivan Kee Uljhan Ko ","KishoreKumar","Kalyanji Anandji","M G Hashmat","Uljhan","Sanjeev Kumar",1976
"683",12,"Dil Dhundhta Hai Fir Wahi Fursat Ke Raat Din (Happy) ","LataMangeshkar,BhupinderSingh","Madan Mohan","Gulzar","Mausam","Sharmila Tagore, Sanjeev Kumar",1976
"684",13,"Sun Bal Brahmchari Mai Hu Kanya Kunwari ","Mukesh,LataMangeshkar","Shankar Jaikishan","Verma Malik","Sanyasi","Hema Malini, Manoj Kumar, Prem Nath",1976
"685",14,"Goree Teraa Ganv Bada Pyara ","Yesudas","Ravindra Jain","Ravindra Jain","Chitchor","Amol Palekar, Zarina Wahab, Raju Shreshtha",1976
"686",15,"Ye Hai Geeta Ka Gyan ","Mukesh,LataMangeshkar","Shankar Jaikishan","Vishveshvar Sharma","Sanyasi","Manoj Kumar, Prem Nath, Hema Malini",1976
"687",16,"Parabat Ke Pichhe Chambe Daa Gaanv ","KishoreKumar,LataMangeshkar","R D Burman","Anand Bakshi","Mehbooba","Hema Malini, Rajesh Khanna",1976
"688",17,"Mere Nainaa Saavan Bhaando, Phir Bhi Meraa Man Pyaasaa ","KishoreKumar,LataMangeshkar","R D Burman","Anand Bakshi","Mehbooba","Hema Malini, Rajesh Khanna",1976
"689",18,"Chalte Chalte Mere Yeh Git Yad Rakhna ","KishoreKumar","Bappi Lahiri","Amit Khanna","Chalte Chalte","Simi Garewal, Vishal Anand",1976
"690",19,"Dariyaa Kinaare Ik Bangalo Go Pori Ai Jo Ai ","KishoreKumar,LataMangeshkar","Basu Manohari","Majrooh Sultanpuri","Sabse Bada Rupaiya","Mehmood, Moushumi Chatterjee, Vinod Mehra",1976
"691",20,"Koi Haseena Jab Rooth Jati Hai ","KishoreKumar","R D Burman","Anand Bakshi","Sholay","Dharmendra, Hema Malini",1976
"692",21,"Jaaneman Jaaneman Tere Do Nayan ","Yesudas,AshaBhosle","Salil Chowdhury","Yogesh","Chhoti Si Baat","Vidya Sinha, Amol Palekar",1976
"693",22,"Jaan-E-Man Jaan-E-Man ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Jaaneman","Dev Anand",1976
"694",23,"Ruk Jana O Jana Humse Do Bate Karke Chali Jana ","KishoreKumar","R D Burman","Anand Bakshi","Warrant","Dev Anand, Zeenat Aman",1976
"695",24,"Mujhe Dard Rehta Hai ","LataMangeshkar,Mukesh","Laxmikant Pyarelal","Majrooh Sultanpuri","Dus Numbri","Hema Malini",1976
"696",25,"Ke Aaja Teri Yaad Aayi O Baalam ","AnandBakshi,LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Charas","Dharmendra, Hema Malini",1976
"697",26,"Kal Kee Hasin Mulaqaat Ke Liye ","KishoreKumar,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Charas","Hema Malini",1976
"698",27,"Totaa Mainaa Ki Kahaani To Puraani Puraani Ho Gai ","KishoreKumar,LataMangeshkar","Ravindra Jain","Ravindra Jain","Fakira","Shabana Azmi, Shashi Kapoor",1976
"699",28,"Jijaaji Meri Jiji Hai Anaadi ","AshaBhosle,KishoreKumar,UshaMangeshkar","Laxmikant Pyarelal","Rajinder Krishan","Ponga Pandit","Danny Denzongpa, Nita Mehta, Prema Narayan, Randhir Kapoor",1976
"700",29,"Simaa Simaa Simaa Sahane Ki Bhi Hai Koi Simaa ","AshaBhosle,KishoreKumar","Ravindra Jain","Ravindra Jain","Salaakhen","Mehmood, Shashi Kapoor, Sulakshana Pandit",1976
"701",30,"Tu Kahan Gayi Thi Tera Mar Jaye Sanwariya ","LataMangeshkar,KishoreKumar","R D Burman","Majrooh Sultanpuri","Dharam Karam","Randhir Kapoor, Rekha",1976
"702",31,"Main Tumase Muhabbat Karati Hun, I Am Sorry ","LataMangeshkar","R D Burman","Anand Bakshi","Warrant","Dev Anand, Zeenat Aman",1976
"703",32,"Koi Aaya Aane Bhi De Koi Gaya ","AshaBhosle","R D Burman","Majrooh Sultanpuri","Kala Sona","Helen, Parveen Babi",1976
"704",33,"Mainne Kyaa Ji, Ki Gal Hai ","KishoreKumar,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Jaaneman","Ajit, Dev Anand, Hema Malini, Prem Nath",1976
"705",1,"Husn Hazir Hai Muhabbat Ki Saja Pane Ko, Koi Pathar Se Na Mare Mere Diwane Ko ","LataMangeshkar","Madan Mohan","Sahir Ludhianvi","Laila Majnu","Rishi Kapoor, Ranjeeta",1977
"706",2,"Shabaab Pe Main, Pardaa Hai Pardaa ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Amar Akbar Anthony","Neetu Singh, Rishi Kapoor",1977
"707",3,"O Meri Mehbooba ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Dharam Veer","Zeenat Aman, Dharmendra",1977
"708",4,"Naam Gum Jaayegaa, Cheharaa Ye Badal Jaayegaa, Meri Aavaaz Hi ","BhupinderSingh,LataMangeshkar","R D Burman","Gulzar","Kinara","Jeetendra, Hema Malini, Dharmendra",1977
"709",5,"Aap Ke Anurodh Pe Main Ye Geet ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Anurodh","Rajesh Khanna, Nirupa Roy, Dina Pathak, Vinod Mehra",1977
"710",7,"Jab Dip Jale Aanaa, Jab Shaam Dhale Aanaa ","Hemlata,Yesudas","Ravindra Jain","Ravindra Jain","Chitchor","Raju Shreshtha, Zarina Wahab, Amol Palekar, Dina Pathak",1977
"711",8,"Suhani Chandni Raate Hame Sone Nahi Deti ","Mukesh","R D Burman","Anand Bakshi","Mukti","A K Hangal, Shashi Kapoor, Sanjeev Kumar, Vidya Sinha",1977
"712",9,"Tere Dar Pe Aaya Hoon ","MohammedRafi","Madan Mohan","Sahir Ludhianvi","Laila Majnu","Rishi Kapoor",1977
"713",10,"Ham Banzaro Kee Bat Mat Puchho Jee ","LataMangeshkar,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Dharam Veer","Zeenat Aman, Neetu Singh, Jeetendra, Dharmendra",1977
"714",11,"Anahoni Ko Honi Kar De Honi Ko Anhoni ","ShailendraSingh,KishoreKumar,MahendraKapoor","Laxmikant Pyarelal","Anand Bakshi","Amar Akbar Anthony","Neetu Singh, Amitabh Bachchan, Rishi Kapoor, Parveen Babi, Vinod Khanna, Shabana Azmi",1977
"715",12,"Bambai Se Aaya Mera Dost ","BappiLahiri","Bappi Lahiri","Shaily Shailendra","Aap Ki Khatir","Vinod Khanna, Rekha",1977
"716",13,"Iss Reshami Pajeb Kee Jhankar Ke Sadake ","LataMangeshkar,MohammedRafi","Madan Mohan","Sahir Ludhianvi","Laila Majnu","Rishi Kapoor, Ranjeeta",1977
"717",14,"Sunke Teri Pukar, Sang Chalne Ko Tere ","KishoreKumar,LataMangeshkar","Ravindra Jain","Ravindra Jain","Fakira","Shabana Azmi, Shashi Kapoor",1977
"718",15,"Aaj Se Pehle Aaj Se Jyada ","Yesudas","Ravindra Jain","Ravindra Jain","Chitchor","Amol Palekar, Zarina Wahab, Vijayendra Ghatge, Raju Shreshtha",1977
"719",16,"Ek Se Badhakar Ek Mai Layi Hu Tohfe Anek ","RunaLaila","Kalyanji Anandji","Verma Malik","Ek Se Badhkar Ek","Helen, Raaj Kumar",1977
"720",17,"Gaon Mein Hote Haste Rote ","AshaBhosle,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Dildaar","Jeetendra, Rekha",1977
"721",18,"Yaar Dildar Tujhe Kaisa Chahiye ","AshaBhosle,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Chhaila Babu","Rajesh Khanna, Zeenat Aman",1977
"722",19,"Abke Na Sawan Barase ","LataMangeshkar","R D Burman","Gulzar","Kinara","Dharmendra, Hema Malini, Jeetendra",1977
"723",20,"Ae Chori Chori Chupke Chupke ","AshaBhosle,KishoreKumar","R D Burman","Anand Bakshi","Bullet","Dev Anand",1977
"724",21,"Bure Kaam Ka Bura Natija ","ShailendraSingh,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Chacha Bhatija","Dharmendra, Randhir Kapoor",1977
"725",22,"Chaand Meraa Dil, Aa Dil Kyaa, O Tum Kyaa Jaano ","MohammedRafi,RDBurman,AshaBhosle,KishoreKumar","R D Burman","Majrooh Sultanpuri","Hum Kisi Se Kum Naheen","Kajal Kiran, Tariq, Rishi Kapoor",1977
"726",23,"Aur Waqt Ki Hera Pheri Hai ","MahendraKapoor,KishoreKumar","Kalyanji Anandji","Anjaan","Hera Pheri","Vinod Khanna, Amitabh Bachchan",1977
"727",24,"Dream Girl ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Dream Girl","Dharmendra, Hema Malini",1977
"728",25,"Koyi Mane Ya Na Mane Mere Dil Kee Mehbuba Ne ","KishoreKumar","Kalyanji Anandji","Farooq Qaisar","Kabeela","",1977
"729",26,"Bade Achchhe Lagte Hai Ye Dharti ","AmitKumar","R D Burman","Anand Bakshi","Balika Badhu","Sachin, Rajni Sharma",1977
"730",27,"Hai Agar Dushman (Hum Kisi Se Kam Nahi) ","MohammedRafi,AshaBhosle","R D Burman","Majrooh Sultanpuri","Hum Kisi Se Kum Naheen","Ajit, Zeenat Aman, Rishi Kapoor",1977
"731",28,"Yaadon Mein Vo Sapanon Men Hai ","KishoreKumar","Rajesh Roshan","Amit Khanna","Swami","Girish Karnad, Shabana Azmi, Vikram",1977
"732",29,"Meri Dilaruba Dilaruba Mere Pas Aa ","KishoreKumar,LataMangeshkar,UshaMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Aap Beati","",1977
"733",30,"Khun Pasine Ki Jo Milegi To Khaayenge ","KishoreKumar","Kalyanji Anandji","Anjaan","Khoon Pasina","Amitabh Bachchan",1977
"734",31,"Aap Sa Koi Hasin, Dilruba O Dilnashi ","AshaBhosle,KishoreKumar","R D Burman","Majrooh Sultanpuri","Chandi Sona","",1977
"735",32,"Sone Ka Chabutara, Uspe Naache Mor ","LataMangeshkar,KishoreKumar","Kalyanji Anandji","Vitthalbhai Patel","Hatyara","Vinod Khanna, Moushumi Chatterjee",1977
"736",33,"Amir Se Hoti Hai, Aaj Mere Yaar Ki Shaadi Hai ","DevenVerma,MohammedRafi,Ravi","Ravi","Verma Malik","Aadmi Sadak Ka","Agha, Deven Verma, Shatrughan Sinha, Sujit Kumar, Vikram, Zahira",1977
"737",34,"Aate Jate Khubsurat Aawara Sadko Pe ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Anurodh","Rajesh Khanna, Asit Sen, Asrani, Simple Kapadia, Preeti Ganguli",1977
"738",35,"Sare Mahafil Mera Iman Beyiman Ho Gaya ","AshaBhosle,MohammedRafi","Usha Khanna","Saawan Kumar","Ab Kya Hoga","",1977
"739",36,"Kya Huwa Teraa Vada, Woh Kasam Woh Irada ","MohammedRafi,SushmaShrestha","R D Burman","Majrooh Sultanpuri","Hum Kisi Se Kum Naheen","Rishi Kapoor, Kajal Kiran, Tariq",1977
"740",37,"Mai Pital Kee Payaliya Bhee Pehanu Jo Panv Me ","LataMangeshkar","Kalyanji Anandji","Anjaan","Kasam Khoon Ki","",1977
"741",38,"Dilruba Aa Meri Baaho Me ","LataMangeshkar,KishoreKumar","Rajesh Roshan","Anand Bakshi","Yehi Hai Zindagi","",1977
"742",39,"Samay Tu Dhire Dhire Chal ","KishoreKumar,AshaBhosle","R D Burman","Indrajeet Singh Tulsi","Karm","Rajesh Khanna",1977
"743",40,"Sun Jiniya Nahi Karunga Ab Galti ","VijetaPandit,KishoreKumar","Rajesh Roshan","Majrooh Sultanpuri","Ginny Aur Johny","Mehmood, Baby Ginny",1977
"744",41,"Tayyab Ali Pyaar Ka Dushaman Haye Haye ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Amar Akbar Anthony","Rishi Kapoor, Neetu Singh, Mukri",1977
"745",42,"Uljhan Hajar Koi Dale ","AshaBhosle,KishoreKumar,MannaDey","R D Burman","Majrooh Sultanpuri","Chandi Sona","Parveen Babi",1977
"746",1,"Akhiyon Ke Jharokhon Se ","Hemlata","Ravindra Jain","Ravindra Jain","Ankhiyon Ke Jharokhon Se","Ranjeeta, Sachin",1978
"747",2,"Aadmi Musafir Hai Aata Hai Jata Hai (Happy) ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Apnapan","Jeetendra, Reena Roy, Sanjeev Kumar, Sulakshana Pandit",1978
"748",3,"Kya Huwa Teraa Vada, Woh Kasam Woh Irada ","MohammedRafi,SushmaShrestha","R D Burman","Majrooh Sultanpuri","Hum Kisi Se Kum Naheen","Rishi Kapoor, Kajal Kiran, Tariq",1978
"749",4,"Bhang Kaa Rang, Khai Ke Paan Banaaras Valaa ","KishoreKumar","Kalyanji Anandji","Anjaan","Don","Zeenat Aman, Amitabh Bachchan",1978
"750",5,"Qasme Vaade Nibhaaenge Ham ","KishoreKumar,LataMangeshkar","R D Burman","Gulshan Bawra","Kasme Vaade","Amitabh Bachchan, Neetu Singh, Rakhee, Randhir Kapoor",1978
"751",6,"Do Divane Shahar Men, Raat Men Aur Dopahar Men ","BhupinderSingh,RunaLaila","Jaidev","Gulzar","Gharaonda","Amol Palekar, Zarina Wahab",1978
"752",7,"Yashomati Mayyaa Se Bole Nandalaalaa ","LataMangeshkar,MannaDey","Laxmikant Pyarelal","Narendra Sharma","Satyam Shivam Sundaram","Padmini Kolhapure",1978
"753",8,"Har Taraf Husn Aur Javani Hai, Aajki Raat Kya Suhani Hai (Mohabbat Bade Kam Ki Chiz Hai) ","LataMangeshkar,Yesudas,KishoreKumar","Khayyam","Sahir Ludhianvi","Trishul","Hema Malini, Amitabh Bachchan, Shashi Kapoor, Rakhee",1978
"754",9,"Tu Pi Aur Ji, Tu Ji He He, Aur Pi ","KishoreKumar","Rajesh Roshan","Amit Khanna","Des Pardes","Dev Anand, Tina Munim",1978
